             1             1
2.013             1
2.014             1
2.016             1
2.017             1
2.022             1
2.023             1
2.025             1
2.026             1
             3            -2
             4             1
             5             1
6.013             1
6.014             1
6.016             1
6.017             1
6.022             1
6.023             1
6.025             1
6.026             1
             7            -4
             8            -5
             9            -6
            10             1
            11           -10
            12             1
13.013             1
13.014             1
13.016             1
13.017             1
13.022             1
13.023             1
13.025             1
13.026             1
            14           -13
            15             1
